char;	count;	type,std_chars
冋;	48;	2,坰
蚉;	48;	2,蚊,4,蚊
𡄇;	47;	4,謦,4,謦,4,謦
㓗;	47;	2,潔
𠪱;	47;	4,歷
𦏪;	47;	2,羚
𥁄;	47;	2,盂,4,盂
戝;	46;	2,賊
𡂠;	46;	2,㗫
礲;	46;	2,礱
䬪;	46;	2,餺
塐;	46;	2,塑
銹;	46;	2,鏽
敭;	46;	2,揚,2,揚
昷;	46;	2,溫;𥁕;𣌬,4,
𨗿;	46;	4,邈
縧;	45;	2,絛
匄;	45;	2,丐
𢌬;	45;	2,九
㷀;	45;	2,煢
𡅏;	45;	4,
𦼮;	45;	2,𦾮,4,
𦀟;	45;	2,紗,4,紗
剠;	45;	2,掠;黥
䝿;	44;	2,貴
𢎢;	44;	2,引,4,引
𢼿;	44;	2,敢
壄;	44;	2,野
𠹉;	44;	2,嘗
凂;	44;	2,浼
𣛰;	44;	2,斫,4,櫡
𢍶;	44;	2,攣;㪻
硋;	44;	2,礙
㓂;	44;	2,寇
𨦟;	44;	2,鋒,4,鋒
広;	44;	2,廣
䑓;	44;	2,臺
䨓;	43;	2,雷
䅽;	43;	2,穀;馨,4,穀
𢆰;	43;	4,氐
𢗅;	43;	2,忙,4,忙
𧯞;	43;	2,鬥,4,鬪,4,鬪
兊;	43;	2,兌
卄;	43;	2,廿
綘;	43;	2,縫,4,縫
䋄;	43;	2,網
䠶;	43;	2,射
刾;	43;	2,刺
㳺;	43;	2,游
𢁙;	42;	2,布;希,4,希
𢬘;	42;	2,抱,4,抱
靁;	42;	2,雷
琹;	42;	2,琴
𢿨;	42;	2,散,4,散
鬭;	42;	2,鬥,2,鬥
㳄;	42;	2,次;涎
㘭;	42;	2,坳
弌;	42;	2,一
𤢴;	42;	2,獡;㺡
㶚;	42;	2,灞,4,灞
窃;	42;	2,竊
𨥨;	42;	2,矛,4,矛
𠥶;	41;	2,㔸,4,㔸,4,㔸
㱃;	41;	2,飲
𤸇;	41;	2,癃,4,癃
𩘌;	41;	2,颼,4,颼
㓜;	41;	2,幼
縆;	41;	2,緪
簮;	41;	2,簪
巩;	41;	2,鞏;𢀜,2,𢀜
妉;	40;	2,媅
𧿟;	40;	2,䟡
𤝧;	40;	2,豹,4,豹
㶑;	40;	2,瀲
𦏌;	40;	2,羺,4,羺
𣅜;	40;	2,皆,4,皆
䆠;	40;	2,宦
𩚳;	40;	2,飯
檏;	40;	2,樸
𣯧;	40;	2,毸;𩮴
𠳮;	40;	2,喬,4,喬
𩦾;	40;	2,驃,4,驃
鐝;	40;	2,𨬐
当;	40;	2,噹;當,2,當
謩;	40;	2,謨,4,謨
𢯯;	40;	2,搋,4,搋
䍧;	39;	2,牂
䞉;	39;	2,賸
𦙄;	39;	2,胸,4,胸
𧄜;	39;	2,蕊,4,蘂,4,蕊,4,蕊
𠷰;	39;	4,啚
笔;	39;	2,筆
𤸃;	39;	2,瘦,4,瘦
帬;	39;	2,裙
裠;	39;	2,裙
賍;	39;	2,贓
迬;	39;	2,往
𩰚;	38;	2,鬥
㹀;	38;	2,牸
宷;	38;	2,審;寀
䒱;	38;	2,蒸,4,蒸
𣓞;	38;	2,槊
灬;	38;	2,火
燌;	38;	2,焚;炃
悧;	37;	2,俐
㑺;	37;	2,俊
緍;	37;	2,緡,2,緡
𨥌;	37;	2,鉹,4,鉹
芦;	37;	2,蘆;芐
㓷;	37;	2,劓
済;	37;	2,濟
榘;	37;	2,矩
𨭝;	37;	2,鎩
䐇;	37;	2,吻;脣;𦟕
頳;	37;	2,赬,4,赬
䀏;	36;	2,眴
䧜;	36;	2,塘
𥤮;	36;	2,突,4,突
䒭;	36;	2,等,4,等
𢯱;	36;	2,搜
𢾊;	36;	2,掁,2,𢾛,4,攴
㞐;	36;	2,居
贋;	36;	2,贗
𨺗;	36;	2,陡
𨑲;	36;	2,廷
鍫;	36;	2,鍬
吅;	36;	2,喧;訟;鄰,4,諠
𢪿;	35;	2,辜,4,辜
捬;	35;	2,撫;拊
𧵍;	35;	2,貿
𣴭;	35;	2,汒,4,茫
𠰸;	35;	2,咽,4,咽
䗶;	35;	2,蠟
𦚻;	35;	2,𦙱,4,
𦨣;	35;	2,舠
